*ERROR* 	2015/02/26 - 17:14:40: Shop not found at line 389 in file classes/shop/Shop.php
*ERROR* 	2015/02/26 - 17:15:49: Shop not found at line 389 in file classes/shop/Shop.php
*ERROR* 	2015/02/26 - 17:15:56: Shop not found at line 389 in file classes/shop/Shop.php
*ERROR* 	2015/02/26 - 18:03:58: Shop not found at line 389 in file classes/shop/Shop.php
*ERROR* 	2015/02/26 - 19:40:41: Shop not found at line 389 in file classes/shop/Shop.php
*ERROR* 	2015/02/26 - 20:52:26: Shop not found at line 389 in file classes/shop/Shop.php
*ERROR* 	2015/02/26 - 20:53:36: Shop not found at line 389 in file classes/shop/Shop.php
*ERROR* 	2015/02/26 - 20:54:27: Shop not found at line 389 in file classes/shop/Shop.php
*ERROR* 	2015/02/26 - 20:54:31: Shop not found at line 389 in file classes/shop/Shop.php
*ERROR* 	2015/02/26 - 20:55:25: Shop not found at line 389 in file classes/shop/Shop.php
